Data;Hora;Temperatura;Umidade
15/08/18;0;19.8;69
15/08/18;1200;14.2;87
15/08/18;1800;24;48
16/08/18;0;18.6;77
16/08/18;1200;15.2;79
16/08/18;1800;22.6;60
17/08/18;0;16.6;78
17/08/18;1200;15.8;77
17/08/18;1800;25;53
18/08/18;0;18;72
18/08/18;1200;16.4;85
18/08/18;1800;26.2;53
19/08/18;0;20;78
19/08/18;1200;16.6;86
19/08/18;1800;28.4;50
20/08/18;0;21.2;76
20/08/18;1200;20;76
20/08/18;1800;30.6;40
21/08/18;0;24.2;65
21/08/18;1200;21;63
21/08/18;1800;27;50
22/08/18;0;23;70
22/08/18;1200;17;94
22/08/18;1800;20.4;80
23/08/18;0;17.4;90
23/08/18;1200;17.8;94
23/08/18;1800;26.8;60
24/08/18;0;22.2;81
24/08/18;1200;20.2;79
24/08/18;1800;23.2;72
25/08/18;0;19.4;92
25/08/18;1200;16.4;85
25/08/18;1800;24;49
26/08/18;0;15.6;72
26/08/18;1200;13;63
26/08/18;1800;23.6;36
27/08/18;0;15;65
27/08/18;1200;12;79
27/08/18;1800;23.2;52
28/08/18;0;15.8;72
28/08/18;1200;14.8;83
28/08/18;1800;26.6;54
29/08/18;0;21;80
29/08/18;1200;18.8;83
29/08/18;1800;29.2;44
30/08/18;0;21.4;71
30/08/18;1200;21.6;71
30/08/18;1800;32;38
31/08/18;0;24.8;62
31/08/18;1200;22.6;61
31/08/18;1800;33;32
01/09/18;0;26.2;57
01/09/18;1200;23.4;65
01/09/18;1800;34;36
02/09/18;0;22.4;79
02/09/18;1200;20.6;88
02/09/18;1800;20.2;83
03/09/18;0;17.2;96
03/09/18;1200;12.2;86
03/09/18;1800;16;72
04/09/18;0;13.6;91
04/09/18;1200;16;79
04/09/18;1800;23.4;45
05/09/18;0;16.6;71
05/09/18;1200;13.4;83
05/09/18;1800;23.6;48
06/09/18;0;17.2;62
06/09/18;1200;15;77
06/09/18;1800;26;41
07/09/18;0;18.6;67
07/09/18;1200;16.4;75
07/09/18;1800;30.2;41
08/09/18;0;22;64
08/09/18;1200;20.8;66
08/09/18;1800;32;35
09/09/18;0;23.4;65
09/09/18;1200;20.2;72
09/09/18;1800;31.8;44
10/09/18;0;23.4;64
10/09/18;1200;18.8;73
10/09/18;1800;28.6;43
11/09/18;0;23.2;59
11/09/18;1200;18.4;72
11/09/18;1800;28.6;44
12/09/18;0;20.8;66
12/09/18;1200;17.8;72
12/09/18;1800;27.8;45
13/09/18;0;20.6;64
13/09/18;1200;18.6;67
13/09/18;1800;27.2;50
14/09/18;0;22.2;76
14/09/18;1200;17;98
14/09/18;1800;20.8;79
15/09/18;0;18.6;90
15/09/18;1200;18.2;90
15/09/18;1800;25.8;59
16/09/18;0;21.2;78
16/09/18;1200;18.6;79
16/09/18;1800;23.6;64
17/09/18;0;19.4;96
17/09/18;1200;15.4;91
17/09/18;1800;18.6;91
18/09/18;0;18.6;97
18/09/18;1200;20.6;95
18/09/18;1800;28.4;45
19/09/18;0;23.4;77
19/09/18;1200;20.2;96
19/09/18;1800;28.4;63
20/09/18;0;18.4;90
20/09/18;1200;18;88
20/09/18;1800;17.2;98
21/09/18;0;16.6;96
21/09/18;1200;17.6;94
21/09/18;1800;28.6;54
22/09/18;0;23.4;83
22/09/18;1200;21.8;73
22/09/18;1800;32;45
23/09/18;0;26.2;60
23/09/18;1200;23.8;64
23/09/18;1800;34.6;40
24/09/18;0;28.4;51
24/09/18;1200;25;64
24/09/18;1800;35;34
25/09/18;0;28;53
25/09/18;1200;24;54
25/09/18;1800;32.8;43
26/09/18;0;26.4;65
26/09/18;1200;23.4;74
26/09/18;1800;30;54
